genre_id,genres
tt0075314,"drama, crime"
tt0068473,"drama, action, thriller, european"
tt0071853,"fantasy, action, comedy"
tt0061578,"war, action"
tt0063929,"comedy, european"
tt0079470,comedy
tt0066999,"thriller, action, crime"
tt0061418,"crime, drama, action"
tt0080453,"romance, action, drama"
tt0054953,"action, drama, war"
tt0060862,"western, action, european"
tt0079807,"comedy, documentation"
tt0047673,"romance, comedy"
tt0051390,"drama, crime, comedy"
tt0191182,"history, documentation, european"
tt0068562,"war, documentation, music, comedy"
tt0077751,drama
tt0064038,drama
tt0080653,"drama, comedy, crime, romance, action"
tt0057357,"action, drama, war, history, romance"
tt0079749,"drama, romance, action, fantasy, family"
tt0047500,"crime, romance, drama"
tt0049761,"action, drama, romance, thriller"
tt0170799,documentation
tt0268639,"drama, thriller, crime"
tt0202477,comedy
tt0169599,drama
tt0074168,"music, drama, crime"
tt0230412,"crime, thriller"
tt0071811,"romance, drama, comedy"
tt0157132,"romance, crime, drama"
tt0170803,documentation
tt3290368,romance
tt1219315,"drama, action, romance"
tt0098904,comedy
tt0099685,"drama, crime"
tt0093058,"war, drama"
tt0087843,"crime, drama, european"
tt0098635,"comedy, romance, drama"
tt0087800,horror
tt0098384,"comedy, drama, romance"
tt0087928,"crime, comedy"
tt0085333,"horror, thriller, european"
tt0083437,"scifi, action, crime, drama"
tt0086815,"animation, family, comedy, fantasy, drama, action, music"
tt0096694,"family, comedy, romance"
tt0099077,"drama, european"
tt0072584,family
tt0097958,"comedy, european"
tt0097722,drama
tt0092948,"comedy, documentation"
tt0091939,"romance, comedy"
tt0096643,"comedy, family"
tt0082329,"romance, drama"
tt0081848,"animation, comedy, family, scifi, european"
tt13913068,"drama, thriller"
tt0095262,"scifi, animation, action, drama, war"
tt0159510,"animation, scifi, action, drama, war"
tt0329829,"animation, comedy, family, crime, european"
tt0307403,"comedy, documentation"
tt0089108,comedy
tt0259057,"comedy, documentation"
tt0159511,"action, drama, war, animation, scifi"
tt0084352,"comedy, documentation"
tt0208903,"drama, romance"
tt0098999,"drama, action, crime"
tt0213984,comedy
tt0096286,"drama, war"
tt0096179,"thriller, crime, drama"
tt0098237,drama
tt0099429,"drama, comedy, romance"
tt0090589,"crime, drama"
tt0091106,drama
tt0099396,"drama, crime"
tt0097926,"drama, action, crime"
tt0177505,"action, crime, thriller"
tt0099858,drama
tt0301231,"action, drama"
tt0094052,drama
tt0239495,"action, drama, thriller"
tt0095945,drama
tt5944220,comedy
tt0239682,"action, comedy, drama, family"
tt0358053,"drama, action"
tt0170148,"romance, drama, action"
tt0379272,"family, romance"
tt0084042,"drama, fantasy"
tt0084492,"war, drama, european"
tt0100848,drama
tt0239195,reality
tt0117060,"thriller, action"
tt0118480,"scifi, drama, action"
tt0114369,"crime, thriller, drama"
tt14053732,"action, scifi, animation, comedy, fantasy, family"
tt0118749,drama
tt0109830,"drama, romance"
tt0208092,"crime, comedy"
tt0134119,"thriller, drama, crime"
tt0388629,"animation, action, comedy, drama, fantasy"
tt6274074,"reality, comedy, drama, scifi"
tt0120338,"drama, romance"
tt0213338,"animation, action, scifi, western, comedy, drama, thriller"
tt0120201,"scifi, action, thriller"
tt0120755,"thriller, action"
tt0109686,comedy
tt0112159,"drama, scifi, animation, action, fantasy, thriller"
tt0119177,"scifi, thriller, romance, drama"
tt0110413,"crime, drama, action, thriller, european"
tt0238784,"comedy, drama"
tt0110632,"thriller, drama, crime, action"
tt0114214,"action, thriller, western, romance"
tt0128853,"comedy, romance, drama"
tt0106064,"action, scifi, fantasy, family"
tt0142342,"drama, comedy, european"
tt0120877,"fantasy, action, horror, thriller"
tt4834194,"scifi, action, family, fantasy, animation, comedy, drama"
tt0119008,"drama, thriller, crime"
tt0108847,"animation, scifi, comedy, family, fantasy"
tt0111987,"scifi, thriller, family, fantasy, horror, music"
tt0290223,"scifi, action, fantasy, romance, animation, comedy, drama"
tt0105265,drama
tt0172493,"drama, european"
tt0107362,"action, fantasy, comedy, family"
tt0111875,"comedy, family, music"
tt0102492,"drama, family, romance, comedy, european"
tt0111756,"western, crime, action, drama"
tt0116213,"thriller, action, drama, crime"
tt0169858,"action, drama, animation, scifi, fantasy"
tt0120434,comedy
tt0107206,"drama, thriller, crime, action"
tt0110367,"drama, romance, family"
tt0120873,"thriller, crime, action"
tt0144701,"comedy, family"
tt0118615,"horror, thriller, action"
tt0115231,"family, comedy"
tt0191397,"comedy, sport"
tt0120102,"action, drama, history, war"
tt0113957,"thriller, action, crime, drama"
tt0106582,"action, thriller, comedy, animation"
tt0107554,"drama, crime, thriller"
tt0113481,"action, drama, scifi, thriller"
tt0109015,"comedy, family, action, sport"
tt0138414,"romance, drama, comedy"
tt0962637,"crime, thriller, drama, action, european"
tt0221735,"scifi, animation, action, comedy, drama, family, fantasy, romance"
tt0120177,"scifi, action, drama, horror"
tt0222518,"scifi, animation, action, comedy, family, fantasy, western"
tt0159382,"drama, european, crime"
tt0247102,"drama, comedy"
tt0110657,"action, drama, family, sport, romance"
tt0107004,"western, history, drama"
tt0119013,"action, scifi, comedy, thriller"
tt0113280,"drama, romance"
tt0119905,"comedy, drama"
tt0200353,comedy
tt0108927,"comedy, drama, family"
tt0115275,"drama, comedy, family"
tt5582224,"drama, romance, comedy"
tt0213363,"animation, comedy, family, action, european"
tt0172684,"romance, comedy, drama"
tt6051792,documentation
tt0102227,"action, scifi"
tt0289649,"drama, crime"
tt0110076,"drama, romance, comedy"
tt0164538,"drama, romance"
tt0500140,"comedy, documentation"
tt0173554,comedy
tt0108041,"drama, european"
tt0221344,"comedy, crime, thriller"
tt0108291,"drama, music, romance"
tt0174852,"drama, history, war, documentation"
tt0249934,"comedy, music, documentation"
tt0152183,"comedy, documentation"
tt0112553,"drama, romance"
tt0206921,"drama, romance"
tt0211634,"thriller, action, drama, romance"
tt0938333,"comedy, documentation"
tt0106655,"drama, crime"
tt0216817,"romance, family, fantasy, drama"
tt0119629,"drama, history, comedy, romance"
tt0115895,drama
tt0140399,"comedy, drama, action, romance"
tt0151121,"comedy, drama, romance"
tt0287570,"comedy, documentation"
tt0274789,"comedy, romance, drama"
tt0164550,"comedy, action, crime, thriller"
tt0139872,"drama, comedy"
tt0109134,"romance, crime, thriller, drama"
tt0103123,"drama, sport"
tt0222270,"comedy, romance, drama"
tt0243174,"documentation, history"
tt0294967,"comedy, documentation"
tt0157183,"romance, drama, comedy, war, european"
tt0187096,"drama, action, crime"
tt0102058,"drama, war, crime, european"
tt0107060,"drama, action, crime, thriller"
tt0938332,"comedy, documentation"
tt0938331,"comedy, documentation"
tt0248012,"romance, action, crime, drama, thriller"
tt9230920,"comedy, documentation"
tt0196355,"romance, european, drama"
tt0267130,"action, drama"
tt0110545,drama
tt0233856,"comedy, romance, fantasy, action"
tt0112916,"romance, action, drama"
tt0102537,"drama, thriller, crime"
tt0170416,"drama, action"
tt0903747,"drama, crime, thriller"
tt1628033,"comedy, reality, european, music"
tt1520211,"action, drama, scifi, horror, thriller"
tt0460681,"scifi, horror, thriller, drama, fantasy"
tt0884328,"horror, scifi, thriller"
tt0377092,comedy
tt1877368,"reality, european"
tt0496424,"comedy, sport"
tt1526318,"drama, european"
tt1439629,comedy
tt0264464,"drama, crime"
tt0413573,"drama, romance"
tt0367279,comedy
tt1094229,"drama, family"
tt8178674,"crime, documentation, drama"
tt0302886,"comedy, european"
tt0364845,"crime, action, thriller, drama, comedy"
tt0417299,"scifi, animation, action, family, fantasy"
tt0357413,comedy
tt0758745,"drama, sport"
tt0487831,"comedy, european"
tt1375666,"action, scifi, music, thriller"
tt0976192,"action, animation, family, scifi, comedy"
tt0407887,"drama, thriller, crime, action"
tt0415463,"drama, comedy, family, romance"
tt1591095,"horror, thriller"
tt0407304,"action, thriller, scifi"
tt0877057,"animation, thriller, scifi, drama, fantasy, crime"
tt1405406,"drama, scifi, horror, romance, thriller, fantasy"
tt0409591,"animation, action, scifi, comedy, fantasy, thriller"
tt0493464,"action, thriller, crime, fantasy"
tt0381061,"action, thriller, european"
tt1751105,"comedy, scifi, animation, fantasy, family, drama, music"
tt0353049,"comedy, music"
tt0362227,"drama, comedy, romance"
tt0465538,"thriller, drama, crime"
tt0257044,"thriller, documentation, drama, crime"
tt1604099,"comedy, family, drama, music, romance, sport"
tt0319061,"action, fantasy, drama, romance"
tt0887912,"thriller, drama, war"
tt0332452,"action, history, war, drama, european"
tt0988045,"crime, thriller, action"
tt0290988,"comedy, crime"
tt0314331,"drama, comedy, romance"
tt0363307,reality
tt0425061,"comedy, thriller, action"
tt0830515,"thriller, action"
tt0878804,"drama, sport"
tt0309698,thriller
tt0480249,"scifi, thriller, action, drama"
tt0235918,"comedy, scifi, animation, family, fantasy"
tt1375670,"comedy, drama, european"
tt0265208,"comedy, romance, drama"
tt0405576,"family, comedy"
tt1152836,"action, crime, drama, history, european"
tt0277371,comedy
tt0221027,"crime, drama"
tt0448157,"fantasy, action, crime, drama"
tt0972534,"comedy, family, romance"
tt0454921,"drama, european"
tt0340855,"crime, drama, thriller, european"
tt0462499,"action, thriller, war, european"
tt0337741,"drama, comedy, romance"
tt0366551,comedy
tt0245674,"horror, thriller, fantasy"
tt1199099,"action, drama, scifi, fantasy, european"
tt1659175,"action, animation, comedy, drama, family, scifi"
tt0844471,"animation, comedy, family, fantasy, scifi, romance, drama"
tt0270792,reality
tt1530541,"drama, comedy"
tt0373883,horror
tt0994314,"scifi, action, animation, drama, war, thriller"
