imdb_id,movie_id,revenue_id,genre_id,region_id,average_rating
tt0047673,tt0047673,,tt0047673,tt0047673,7.6
tt0049761,tt0049761,,tt0049761,tt0049761,6.7
tt0051390,tt0051390,,tt0051390,tt0051390,7.5
tt0054953,tt0054953,tt0054953,tt0054953,tt0054953,7.5
tt0057357,tt0057357,,tt0057357,tt0057357,7.5
tt0060862,tt0060862,,tt0060862,tt0060862,7.3
tt0061418,tt0061418,tt0061418,tt0061418,tt0061418,7.7
tt0061578,tt0061578,tt0061578,tt0061578,tt0061578,7.7
tt0063929,tt0063929,,tt0063929,tt0063929,8.8
tt0064038,tt0064038,,tt0064038,tt0064038,8.0
tt0066999,tt0066999,tt0066999,tt0066999,tt0066999,7.7
tt0068473,tt0068473,tt0068473,tt0068473,tt0068473,7.7
tt0068562,tt0068562,,tt0068562,tt0068562,6.4
tt0069049,tt0069049,,tt0069049,tt0069049,6.7
tt0071811,tt0071811,,tt0071811,tt0071811,6.5
tt0071853,tt0071853,tt0071853,tt0071853,tt0071853,8.2
tt0072584,tt0072584,,tt0072584,tt0072584,6.7
tt0074168,tt0074168,,tt0074168,tt0074168,7.1
tt0075314,tt0075314,tt0075314,tt0075314,tt0075314,8.2
tt0077751,tt0077751,,tt0077751,tt0077751,7.3
tt0079470,tt0079470,tt0079470,tt0079470,tt0079470,8.0
tt0079749,tt0079749,,tt0079749,tt0079749,6.2
tt0079807,tt0079807,,tt0079807,tt0079807,8.0
tt0080453,tt0080453,tt0080453,tt0080453,tt0080453,5.8
tt0080653,tt0080653,,tt0080653,tt0080653,6.4
tt0081848,tt0081848,,tt0081848,tt0081848,7.4
tt0082329,tt0082329,,tt0082329,tt0082329,4.9
tt0083437,tt0083437,,tt0083437,tt0083437,6.9
tt0084042,tt0084042,,tt0084042,tt0084042,7.3
tt0084352,tt0084352,,tt0084352,tt0084352,7.8
tt0084492,tt0084492,,tt0084492,tt0084492,6.1
tt0085333,tt0085333,,tt0085333,tt0085333,6.8
tt0086815,tt0086815,,tt0086815,tt0086815,6.5
tt0087800,tt0087800,tt0087800,tt0087800,tt0087800,7.4
tt0087843,tt0087843,,tt0087843,tt0087843,8.3
tt0087928,tt0087928,tt0087928,tt0087928,tt0087928,6.7
tt0089108,tt0089108,,tt0089108,tt0089108,8.0
tt0090589,tt0090589,,tt0090589,tt0090589,7.0
tt0091106,tt0091106,,tt0091106,tt0091106,6.0
tt0091939,tt0091939,,tt0091939,tt0091939,6.8
tt0092948,tt0092948,,tt0092948,tt0092948,7.6
tt0093058,tt0093058,tt0093058,tt0093058,tt0093058,8.3
tt0094052,tt0094052,,tt0094052,tt0094052,6.2
tt0095262,tt0095262,,tt0095262,tt0095262,7.3
tt0095945,tt0095945,,tt0095945,tt0095945,7.0
tt0096179,tt0096179,,tt0096179,tt0096179,5.9
tt0096286,tt0096286,,tt0096286,tt0096286,6.7
tt0096643,tt0096643,,tt0096643,tt0096643,6.5
tt0096694,tt0096694,,tt0096694,tt0096694,7.1
tt0097722,tt0097722,,tt0097722,tt0097722,7.4
tt0097926,tt0097926,,tt0097926,tt0097926,5.4
tt0097958,tt0097958,tt0097958,tt0097958,tt0097958,7.5
tt0098237,tt0098237,,tt0098237,tt0098237,7.1
tt0098384,tt0098384,,tt0098384,tt0098384,7.3
tt0098635,tt0098635,tt0098635,tt0098635,tt0098635,7.7
tt0098904,tt0098904,,tt0098904,tt0098904,8.9
tt0098999,tt0098999,,tt0098999,tt0098999,7.6
tt0099077,tt0099077,,tt0099077,tt0099077,7.8
tt0099396,tt0099396,,tt0099396,tt0099396,5.6
tt0099429,tt0099429,,tt0099429,tt0099429,6.6
tt0099685,tt0099685,tt0099685,tt0099685,tt0099685,8.7
tt0099858,tt0099858,,tt0099858,tt0099858,6.5
tt0100848,tt0100848,,tt0100848,tt0100848,6.1
tt0102058,tt0102058,,tt0102058,tt0102058,6.8
tt0102227,tt0102227,,tt0102227,tt0102227,4.6
tt0102492,tt0102492,,tt0102492,tt0102492,6.9
tt0102537,tt0102537,,tt0102537,tt0102537,5.6
tt0103123,tt0103123,,tt0103123,tt0103123,7.2
tt0105265,tt0105265,,tt0105265,tt0105265,7.2
tt0106064,tt0106064,,tt0106064,tt0106064,6.6
tt0106582,tt0106582,tt0106582,tt0106582,tt0106582,6.5
tt0106655,tt0106655,,tt0106655,tt0106655,7.8
tt0107004,tt0107004,tt0107004,tt0107004,tt0107004,6.5
tt0107060,tt0107060,,tt0107060,tt0107060,6.1
tt0107206,tt0107206,tt0107206,tt0107206,tt0107206,7.2
tt0107362,tt0107362,tt0107362,tt0107362,tt0107362,6.5
tt0107554,tt0107554,tt0107554,tt0107554,tt0107554,7.5
