engagement_id,title,hours_viewed,global_availability
1,Ginny & Georgia,967200000,Yes
2,The Night Agent,812100000,Yes
3,You,766300000,Yes
4,Outer Banks,740400000,Yes
5,The Walking Dead,738600000,No
6,The Glory,622800000,Yes
7,La Reina del Sur,616800000,No
8,CoComelon,601200000,No
9,Suits,599300000,Yes
10,The Blacklist,596900000,No
11,Manifest,581900000,Yes
12,Grey's Anatomy,560300000,No
13,Wednesday,507700000,Yes
14,Breaking Bad,505000000,No
15,Queen Charlotte: A Bridgerton Story,503000000,Yes
16,Gilmore Girls,488700000,Yes
17,Friends,448500000,No
18,Lucifer,434300000,No
19,The Big Bang Theory,420400000,No
20,Shameless,392900000,No
21,New Amsterdam,375500000,No
22,Brooklyn Nine-Nine,358900000,No
23,Love Is Blind,343900000,Yes
24,Firefly Lane,342700000,Yes
25,Never Have I Ever,341300000,Yes
26,The Office,341100000,No
27,Vikings: Valhalla,322000000,Yes
28,PAW Patrol,312600000,No
29,Seinfeld,311200000,Yes
30,The Flash,311000000,No
31,NCIS,310800000,No
32,The Marked Heart,307800000,Yes
33,Sex/Life,301900000,Yes
34,Better Call Saul,295500000,No
35,Shadow and Bone,292400000,Yes
36,Gabby's Dollhouse,290100000,Yes
37,Peppa Pig,276000000,No
38,Sweet Tooth,271300000,Yes
39,Bridgerton,270000000,Yes
40,S.W.A.T.,268200000,No
41,FUBAR,266200000,Yes
42,Emily in Paris,262700000,Yes
43,Kaleidoscope: Limited Series,252500000,Yes
44,The Mother,249900000,Yes
45,Alice in Borderland,249800000,Yes
46,Black Mirror,248900000,Yes
47,Peaky Blinders,244400000,No
48,Outlander,238300000,No
49,Wrong Side of the Tracks,237700000,No
50,Physical: 100,235000000,Yes
51,Crash Course in Romance: Limited Series,234800000,Yes
52,Vikings,234200000,No
53,Masha and the Bear,231900000,No
54,The Last Kingdom,230000000,No
55,BEEF,221100000,Yes
56,Orange Is the New Black,217100000,Yes
57,The Crown,214700000,Yes
58,The Diplomat,214100000,Yes
59,Luther: The Fallen Sun,209700000,Yes
60,The 100,208300000,No
61,Fake Profile,206500000,No
62,Extraction 2,201800000,Yes
63,"XO, Kitty",200700000,Yes
64,The Good Doctor,197200000,No
65,Designated Survivor,194900000,Yes
66,Doctor Cha: Limited Series,194700000,Yes
67,Pasión de Gavilanes,190700000,No
68,Supernatural,190600000,No
69,You People,181800000,Yes
70,Teen Titans Go!,181500000,No
71,Riverdale,180700000,No
72,Jane The Virgin,180700000,Yes
73,Heartland,179800000,No
74,Perfect Match,176800000,Yes
75,Murder Mystery 2,173600000,Yes
76,The Surrogacy,172400000,No
77,Cobra Kai,172000000,Yes
78,"Pablo Escobar, el patrón del mal",170100000,Yes
79,Teen Wolf,166500000,No
80,The Witcher,164900000,Yes
81,Fauda,164500000,Yes
82,Workin' Moms,164200000,No
83,Your Place or Mine,163000000,Yes
84,Chiquititas,162000000,No
85,Arrow,159700000,No
86,Welcome to Eden,157500000,Yes
87,Alchemy of Souls: Part 1,155300000,Yes
88,All American,152900000,No
89,Til Money Do Us Part,152100000,No
90,Mr. Queen,151500000,No
91,Alchemy of Souls: Part 2,150200000,Yes
92,The Good Bad Mother: Limited Series,148600000,Yes
93,The Recruit,146900000,Yes
94,Bloodhounds,146700000,Yes
95,Henry Danger,143500000,No
96,Glass Onion: A Knives Out Mystery,142900000,Yes
97,Naruto,140300000,No
98,Shooter,139500000,No
99,Triptych,139300000,Yes
100,Miraculous: Tales of Ladybug & Cat Noir,139300000,No
101,Virgin River,138700000,Yes
