movie_show_id,tmdb_id,title,type,release_year,runtime,genres,production_countries,imdb_id
1,tm84618,Taxi Driver,MOVIE,1976,114,"['drama', 'crime']",['US'],tt0075314
2,tm154986,Deliverance,MOVIE,1972,109,"['drama', 'action', 'thriller', 'european']",['US'],tt0068473
3,tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"['fantasy', 'action', 'comedy']",['GB'],tt0071853
4,tm120801,The Dirty Dozen,MOVIE,1967,150,"['war', 'action']","['GB', 'US']",tt0061578
5,ts22164,Monty Python's Flying Circus,SHOW,1969,30,"['comedy', 'european']",['GB'],tt0063929
6,tm70993,Life of Brian,MOVIE,1979,94,['comedy'],['GB'],tt0079470
7,tm14873,Dirty Harry,MOVIE,1971,102,"['thriller', 'action', 'crime']",['US'],tt0066999
8,tm119281,Bonnie and Clyde,MOVIE,1967,110,"['crime', 'drama', 'action']",['US'],tt0061418
9,tm98978,The Blue Lagoon,MOVIE,1980,104,"['romance', 'action', 'drama']",['US'],tt0080453
10,tm44204,The Guns of Navarone,MOVIE,1961,158,"['action', 'drama', 'war']","['GB', 'US']",tt0054953
11,tm67378,The Professionals,MOVIE,1966,117,"['western', 'action', 'european']",['US'],tt0060862
12,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"['comedy', 'documentation']",['US'],tt0079807
13,tm16479,White Christmas,MOVIE,1954,115,"['romance', 'comedy']",['US'],tt0047673
14,tm135083,Cairo Station,MOVIE,1958,77,"['drama', 'crime', 'comedy']",['EG'],tt0051390
15,tm89386,Hitler: A Career,MOVIE,1977,150,"['history', 'documentation', 'european']",['DE'],tt0191182
16,tm156453,FTA,MOVIE,1972,97,"['war', 'documentation', 'music', 'comedy']",['US'],tt0068562
17,tm14350,Alexandria… Why?,MOVIE,1979,133,['drama'],['EG'],tt0077751
18,tm81728,The Land,MOVIE,1969,129,['drama'],['EG'],tt0064038
19,tm94651,Dostana,MOVIE,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],tt0080653
