region_id,regions
tt0075314,US
tt0068473,US
tt0071853,GB
tt0061578,"GB, US"
tt0063929,GB
tt0079470,GB
tt0066999,US
tt0061418,US
tt0080453,US
tt0054953,"GB, US"
tt0060862,US
tt0079807,US
tt0047673,US
tt0051390,EG
tt0191182,DE
tt0068562,US
tt0077751,EG
tt0064038,EG
tt0080653,IN
tt0057357,EG
tt0079749,"SU, IN"
tt0047500,EG
tt0049761,EG
tt0170799,"LB, CA, FR"
tt0268639,IN
tt0202477,
tt0169599,LB
tt0074168,"DZ, EG"
tt0230412,IN
tt0071811,IN
tt0157132,IN
tt0170803,"CA, FR, LB"
tt3290368,IN
tt1219315,IN
tt0098904,US
tt0099685,US
tt0093058,"US, GB"
tt0087843,"US, IT"
tt0098635,US
tt0087800,"GB, US"
tt0098384,US
tt0087928,US
tt0085333,US
tt0083437,US
tt0086815,GB
tt0096694,US
tt0099077,US
tt0072584,US
tt0097958,US
tt0097722,US
tt0092948,US
tt0091939,US
tt0096643,US
tt0082329,US
tt0081848,GB
tt13913068,IN
tt0095262,JP
tt0159510,JP
tt0329829,GB
tt0307403,US
tt0089108,AR
tt0259057,US
tt0159511,JP
tt0084352,GB
tt0208903,IN
tt0098999,IN
tt0213984,GB
tt0096286,US
tt0096179,US
tt0098237,US
tt0099429,IN
tt0090589,US
tt0091106,US
tt0099396,US
tt0097926,IN
tt0177505,IN
tt0099858,"FR, EG"
tt0301231,IN
tt0094052,US
tt0239495,IN
tt0095945,US
tt5944220,US
tt0239682,IN
tt0358053,IN
tt0170148,IN
tt0379272,IN
tt0084042,EG
tt0084492,"FR, LB"
tt0100848,US
tt0239195,US
tt0117060,US
tt0118480,"CA, US"
tt0114369,US
tt14053732,JP
tt0118749,US
tt0109830,US
tt0208092,"US, GB"
tt0134119,US
tt0388629,JP
tt6274074,US
tt0120338,US
tt0213338,JP
tt0120201,US
tt0120755,US
tt0109686,US
tt0112159,JP
tt0119177,US
tt0110413,"US, FR"
tt0238784,US
tt0110632,US
tt0114214,"JP, US"
tt0128853,US
tt0106064,US
tt0142342,US
tt0120877,US
tt4834194,JP
tt0119008,US
tt0108847,"CA, US"
tt0111987,"US, CA"
tt0290223,JP
tt0105265,US
tt0172493,"DE, US"
tt0107362,US
tt0111875,US
tt0102492,US
tt0111756,US
tt0116213,"US, CA"
tt0169858,JP
tt0120434,US
tt0107206,US
tt0110367,US
tt0120873,US
tt0144701,US
tt0118615,"PE, US, BR"
tt0115231,US
tt0191397,US
tt0120102,US
tt0113957,US
tt0106582,"IT, US, FR"
tt0107554,US
tt0113481,"CA, US"
tt0109015,"JP, US"
tt0138414,US
tt0962637,US
tt0221735,JP
tt0120177,US
tt0222518,US
tt0159382,"IE, GB, DE, FR"
tt0247102,US
tt0110657,US
tt0107004,US
tt0119013,"HK, US"
tt0113280,US
tt0119905,US
tt0200353,US
tt0108927,US
tt0115275,US
tt5582224,AU
tt0213363,FR
tt0172684,IN
tt6051792,GB
tt0102227,US
tt0289649,AR
tt0110076,IN
tt0164538,IN
tt0500140,US
tt0173554,FR
tt0108041,"DE, GH, GB, US, BF"
tt0221344,MX
tt0108291,"ES, AR"
tt0174852,US
tt0249934,US
tt0152183,GB
tt0112553,IN
tt0206921,IN
tt0211634,IN
tt0938333,US
tt0106655,IN
tt0216817,IN
tt0119629,"FR, EG"
tt0115895,"PS, US, FR, DE"
tt0140399,IN
tt0151121,IN
tt0287570,"GB, US"
tt0274789,IN
tt0164550,IN
tt0139872,IN
tt0109134,IN
tt0103123,US
tt0222270,IN
tt0243174,LB
tt0294967,US
tt0157183,"FR, NO, LB, BE"
tt0187096,IN
tt0102058,"BE, FR, IT, LB"
tt0107060,IN
tt0938332,US
tt0938331,US
tt0248012,IN
tt9230920,GB
tt0196355,"FR, EG"
tt0267130,IN
tt0110545,"FR, EG"
tt0233856,IN
tt0112916,IN
tt0102537,US
tt0170416,"IN, SU"
tt0903747,US
tt1628033,GB
tt1520211,US
tt0460681,US
tt0884328,US
tt0377092,"CA, US"
tt1877368,GB
tt0496424,US
tt1526318,DK
tt1439629,US
tt0264464,US
tt0413573,US
tt0367279,US
tt1094229,CA
tt8178674,FR
tt0302886,US
tt0364845,US
tt0417299,US
tt0357413,US
tt0758745,US
tt0487831,GB
tt1375666,"US, GB"
tt0976192,US
tt0407887,US
tt0415463,US
tt1591095,"CA, US"
tt0407304,US
tt0877057,JP
tt1405406,US
tt0409591,JP
tt0493464,"DE, US"
tt0381061,"DE, GB, US, BS, CZ"
tt1751105,"CA, US"
tt0353049,US
tt0362227,US
tt0465538,US
tt0257044,US
tt1604099,US
tt0319061,US
tt0887912,US
tt0332452,"MT, GB, US"
tt0988045,"AU, DE, GB, US"
tt0290988,CA
tt0314331,"GB, US"
tt0363307,US
tt0425061,US
tt0830515,"GB, US"
tt0878804,US
tt0309698,US
tt0480249,US
tt0235918,"CA, US"
tt1375670,US
tt0265208,US
tt0405576,US
tt1152836,"US, JP"
tt0277371,US
tt0221027,US
tt0448157,US
tt0972534,US
tt0454921,US
tt0340855,US
tt0462499,"DE, US"
tt0337741,US
tt0366551,US
tt0245674,"CA, US"
tt1199099,GB
tt1659175,US
tt0844471,US
tt0270792,"BE, US"
tt1530541,AU
tt0373883,US
tt0994314,JP
tt0322802,US
tt0839980,US
tt0410297,US
tt0830558,US
tt1037705,US
tt0450259,"DE, US"
tt0425123,US
tt1220719,HK
tt0478087,US
tt0758746,US
tt0948103,JP
tt1228987,"GB, US"
tt1285482,GB
tt1179056,US
tt7396266,IT
tt0385307,US
tt0825232,US
tt1710177,GB
tt0367413,JP
tt0362120,US
tt0253867,US
tt1341188,US
tt0453451,"US, FR, DE, GB"
tt0373926,"GB, US, FR, DE"
tt0251160,US
tt1187043,IN
tt0267804,US
tt0491603,AU
tt0324216,US
tt0281491,GB
tt0312528,US
tt0314353,US
tt1231583,US
tt1316554,JP
tt0758794,US
tt0346631,US
tt0329101,"IT, US"
tt0385752,"GB, US"
tt0389564,US
tt1234548,"US, GB"
tt1190823,US
tt0983983,GB
tt0896798,US
tt1279024,JP
tt1131746,US
tt0385880,US
tt0452625,"US, CA"
tt0443649,"US, ZA"
tt1385867,US
tt0402901,"DE, US"
tt0335438,US
tt0363282,US
tt0398375,"DE, US"
tt0328962,US
tt0395495,US
tt1882928,JP
tt0169102,IN
tt0487849,"GB, ES"
tt1173427,CA
tt0272397,AU
tt0436331,US
tt1386932,"HK, CN"
tt1055292,US
tt1321509,US
tt0418647,US
tt0477071,US
tt0367085,US
tt6954486,"CA, US"
tt0420294,US
tt0816397,JP
tt1884856,RU
tt1421373,US
tt1587790,JP
tt1807824,FR
tt0790604,US
tt1135084,US
tt1209393,JP
tt1370334,KR
tt0986264,IN
tt1314228,US
tt0243585,US
tt1470837,US
tt1436544,GB
tt0297162,"DE, US"
tt0417311,FR
tt6950338,US
tt0388419,US
tt0772137,US
tt1422182,US
tt1213012,"CA, US, IN"
tt3968668,KR
tt1059455,CN
tt1033796,JP
tt5320634,"JP, HK"
tt0988982,JP
tt1295085,US
tt1003009,MX
tt1485763,JP
tt0402910,"CA, GB, US"
tt0456020,US
tt2046005,FR
tt0425601,CA
tt0454349,"CA, US"
tt0417202,EG
tt1422032,"FR, MX, ES"
tt0865482,US
tt1516172,CA
tt1639426,IN
tt1423972,IN
tt1337032,CA
tt0320024,US
tt0248126,IN
tt0347304,IN
tt1093370,IN
tt1673402,US
tt0400234,IN
tt6963796,US
tt0449994,IN
tt1524993,JP
tt1764141,EG
tt0804558,US
tt0486578,US
tt0283770,CO
tt0322645,JP
tt0367110,"IN, US"
tt0443521,CA
tt0985991,GB
tt1451423,"US, CA"
tt0405508,IN
tt1585368,CO
tt0459724,"AR, ES"
tt1125758,GB
tt1757202,KR
tt0499375,IN
tt1659261,US
tt0488798,IN
tt1390471,US
tt1188112,US
tt3270208,KR
tt0292490,IN
tt0367495,IN
tt0284770,US
tt1223975,CL
tt0492472,US
tt1339302,JP
tt0800003,US
tt0492896,US
tt0419058,IN
tt1703048,JP
tt0274428,"FR, MA, DE, PS"
tt0484275,AU
tt1074443,FR
tt1420554,US
tt1785394,JP
tt1160524,JP
tt0461936,IN
tt0464160,IN
tt1481363,JP
tt0964516,IN
tt0404777,KR
tt6958564,US
tt2080922,FR
tt0331370,"AR, DE, UY, ES"
tt1252596,IN
tt0217085,FR
tt0469589,US
tt1017456,IN
tt0479751,IN
tt0366621,JP
tt6978288,US
tt6951568,GB
tt0384116,TR
tt1438298,IN
tt6953650,US
tt1291465,IN
tt19880958,
tt0473367,IN
tt1202514,HK
tt0806102,US
tt0346723,IN
tt0476680,JP
tt0476884,IN
tt0382383,IN
tt0907286,US
tt1260520,CO
tt1324059,IN
tt1206326,JP
tt0319020,IN
tt0449999,IN
tt0457802,IN
tt1071815,JP
tt1345777,IN
tt0800956,IN
tt1233451,CO
tt0795156,"US, GB"
tt1667838,IN
tt0347473,IN
tt1230448,IN
tt0451850,IN
tt1230165,IN
tt1608777,IN
tt1037116,JP
tt1578261,IN
tt1274295,IN
tt0442236,"CL, AR"
tt0448267,"CZ, GB, DK, NL, SE"
tt0886539,IN
tt1324027,CA
tt4570986,IN
tt0791188,JP
tt0808306,IN
tt0920464,IN
tt1433810,IN
tt0473658,JP
tt1483930,TW
tt1327035,IN
tt1373156,IN
tt1185420,"IN, US"
tt5170230,US
tt1587263,TR
tt1185442,IN
tt0355119,CO
tt1395054,IN
tt1043451,IN
tt0396659,JP
tt0476527,IN
tt1092005,IN
tt1292703,IN
tt0415908,IN
tt0811066,IN
tt0312859,IN
tt0417528,IN
tt6953928,FR
tt1242530,IN
tt0456500,IN
tt0780568,DE
tt6999072,US
tt0885520,TW
tt1682704,SG
tt1542960,NG
tt0815456,US
tt1266583,IN
tt0305727,US
tt0863091,MY
tt1178658,US
tt1843120,KR
tt0439856,CA
tt1170399,IN
tt0497335,Lebanon
tt1047832,US
tt1428459,IN
tt1602479,HK
tt0323013,IN
tt8612066,TW
tt1667724,CO
tt9892608,
tt1415252,IN
tt0270053,TR
tt1714832,IN
tt1221139,IN
tt1447508,IN
tt0319736,IN
tt3062514,
tt1735848,JP
tt1174041,IN
tt0362771,IN
tt1105733,IN
tt0934949,HK
tt0986354,US
tt1090680,"BE, FR, ES, CH, PS"
tt0451631,IN
tt0373856,IN
tt0401575,ZA
